basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
1314,2023.11.20 08:49:15,EURUSD,BUY,impulse,27.16,0.00045,1.25,32.0335,0.1338,2,8,8.3,5,0.00002,-25.04,1,0,-25.04,5,steamroller_bsl,1
1315,2023.11.22 17:11:02,EURUSD,SELL,pullback_trend,22.54,0.00039,-0.133333,1.4669,3.0677,2,17,-4.62,1,0.00004,-25.06,1,0,-25.06,5,steamroller_bsl,1
1316,2023.11.24 16:35:33,EURUSD,BUY,pullback_trend,24.04,0.00038,-0.025641,4.7431,2.1722,3,16,1.5,1,-0.00003,-25.03,1,0,-25.03,5,steamroller_bsl,1
1317,2023.12.01 17:20:16,EURUSD,SELL,liquidity_vacuum,29.53,0.00062,0.631579,18.7983,0.0099,10,17,5.49,1,0.00007,10.03,0,1,-3.27,2,winner,0
1318,2023.12.04 17:06:25,EURUSD,SELL,liquidity_vacuum,29.12,0.00043,-0.306452,2.5812,4.3248,8,17,-0.41,2,0.00002,10.12,0,1,-5.37,4,winner,0
1319,2023.12.05 20:13:37,EURUSD,SELL,liquidity_vacuum,20.19,0.00024,-0.44186,2.8853,5.1414,8,20,-8.93,3,0.00001,10.09,0,1,-6.06,5,winner,0
1320,2023.12.06 22:22:10,EURUSD,SELL,liquidity_vacuum,16.24,0.00016,-0.333333,3.5168,5.6674,19,22,-3.95,4,-0.00000,10.03,0,1,-24.72,5,winner,0
1321,2023.12.08 15:00:28,EURUSD,SELL,liquidity_vacuum,24.60,0.00088,4.5,65.0539,0.9357,9,15,8.36,5,-0.00006,-25.00,1,0,-25.00,5,steamroller_bsl,1
1322,2023.12.13 22:01:00,EURUSD,BUY,liquidity_vacuum,22.30,0.00033,-0.625,3.5453,10.1811,24,22,-2.3,1,-0.00001,10.01,0,1,-0.44,1,winner,0
1323,2023.12.14 18:08:28,EURUSD,BUY,pullback_trend,25.51,0.00052,0.575758,14.8112,6.1344,1,18,3.21,2,-0.00002,-25.59,1,0,-25.59,5,steamroller_bsl,1
1324,2023.12.15 17:29:42,EURUSD,SELL,pullback_trend,23.43,0.00044,-0.153846,1.8057,4.023,1,17,-2.08,1,0.00001,-25.00,1,0,-25.00,5,steamroller_bsl,1
1325,2023.12.21 15:05:39,EURUSD,BUY,rotation,18.80,0.00063,0.431818,5.8445,1.7054,1,15,-4.63,1,-0.00005,10.00,0,1,-0.69,1,winner,0
1326,2023.12.27 18:04:05,EURUSD,BUY,compression,22.87,0.00031,-0.507937,10.667,5.308,1,18,4.07,2,-0.00003,-25.03,1,0,-25.48,5,steamroller_bsl,1
1327,2024.01.02 07:23:31,EURUSD,SELL,pullback_trend,29.06,0.00031,0.0,13.3535,0.294,1,7,6.19,1,0.00001,10.06,0,1,-1.25,3,winner,0
1328,2024.01.02 14:37:41,EURUSD,SELL,expansion,24.85,0.00054,0.741935,9.6864,5.0683,1,14,-4.21,2,0.00001,10.05,0,1,-0.99,2,winner,0
1329,2024.01.03 13:31:42,EURUSD,SELL,grind,22.28,0.00052,-0.037037,2.0794,1.9175,1,13,-2.57,3,0.00000,10.02,0,1,-2.61,3,winner,0
1330,2024.01.03 19:24:42,EURUSD,SELL,rotation,14.42,0.00056,0.076923,3.1291,1.0394,1,19,-7.86,4,0.00001,11.69,0,1,-21.93,5,winner,0
1331,2024.01.05 13:52:43,EURUSD,SELL,impulse,24.55,0.00099,0.767857,30.5904,0.2075,1,13,10.13,5,-0.00000,-25.02,1,0,-25.02,4,steamroller_bsl,1
1332,2024.01.05 16:47:42,EURUSD,BUY,pullback_trend,25.86,0.00067,-0.323232,3.7469,2.5076,1,16,1.31,1,-0.00000,10.03,0,1,-10.13,4,winner,0
1333,2024.01.08 17:22:38,EURUSD,BUY,pullback_trend,27.13,0.00038,-0.432836,4.4701,2.9205,1,17,1.27,2,-0.00002,10.02,0,1,-24.48,5,winner,0
1334,2024.01.11 04:40:29,EURUSD,BUY,liquidity_vacuum,18.55,0.00016,-0.578947,2.0005,2.0021,3,4,-8.58,3,-0.00002,11.25,0,1,-8.05,5,winner,0
1335,2024.01.11 15:44:21,EURUSD,SELL,impulse,17.54,0.00099,5.1875,53.4235,0.5941,1,15,-1.01,1,0.00007,10.05,0,1,-4.25,3,winner,0
1336,2024.01.12 13:55:15,EURUSD,SELL,pullback_trend,27.37,0.00075,-0.242424,20.9539,0.3756,1,13,9.83,2,0.00005,10.20,0,1,-9.40,5,winner,0
1337,2024.01.15 00:25:38,EURUSD,SELL,liquidity_vacuum,27.64,0.00020,-0.733333,3.0482,2.433,3,0,0.27,3,0.00001,10.02,0,1,-8.43,5,winner,0
1338,2024.01.16 06:15:31,EURUSD,SELL,liquidity_vacuum,24.99,0.00022,0.1,4.0507,3.8028,3,6,-2.65,4,0.00000,10.28,0,1,-2.22,5,winner,0
1339,2024.01.16 12:19:15,EURUSD,SELL,expansion,29.18,0.00038,0.727273,18.8239,2.6845,1,12,4.19,5,-0.00000,10.02,0,1,-6.03,3,winner,0
1340,2024.01.23 13:07:30,EURUSD,SELL,pullback_trend,24.61,0.00037,-0.026316,3.9965,3.1859,1,13,-4.57,6,0.00002,10.03,0,1,-0.89,2,winner,0
1341,2024.01.23 18:03:30,EURUSD,SELL,pullback_trend,24.88,0.00037,0.0,5.479,4.9561,1,18,0.27,7,-0.00000,-25.10,1,0,-25.10,5,steamroller_bsl,1
1342,2024.01.24 11:32:31,EURUSD,BUY,rotation,17.19,0.00034,-0.081081,1.5501,3.8006,1,11,-7.69,1,0.00001,-25.23,1,0,-25.23,5,steamroller_bsl,1
1343,2024.01.25 17:15:41,EURUSD,SELL,impulse,27.69,0.00041,0.205882,24.9198,4.6439,1,17,10.5,1,-0.00001,10.15,0,1,-7.96,5,winner,0
1344,2024.01.29 11:35:38,EURUSD,SELL,pullback_trend,27.29,0.00031,-0.243902,2.0568,3.0272,1,11,-0.4,2,0.00002,10.02,0,1,-3.43,5,winner,0
1345,2024.01.29 16:28:31,EURUSD,SELL,pullback_trend,22.28,0.00041,0.322581,5.5433,2.4698,1,16,-5.01,3,0.00000,-25.12,1,0,-25.12,5,steamroller_bsl,1
1346,2024.01.31 16:06:28,EURUSD,BUY,expansion,27.52,0.00076,0.853659,20.2461,1.3181,1,16,5.24,1,-0.00004,10.15,0,1,-12.55,5,winner,0
1347,2024.01.31 19:40:00,EURUSD,SELL,pullback_trend,26.84,0.00114,0.5,7.727,0.9079,1,19,-0.68,1,0.00016,10.00,0,1,-4.20,1,winner,0
1348,2024.02.05 11:48:30,EURUSD,SELL,pullback_trend,29.67,0.00033,-0.710526,8.748,2.7519,1,11,2.83,2,0.00002,10.36,0,1,-11.94,5,winner,0
1349,2024.02.08 15:53:42,EURUSD,SELL,pullback_trend,29.86,0.00051,0.545455,7.7537,0.4767,1,15,0.19,3,-0.00001,10.11,0,1,-17.99,5,winner,0
