basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
38,2026.03.09 17:56:00,EURUSD,BUY,pullback_trend,26.30,0.00038,-0.472222,23.2162,2.2248,6,17,10.03,3,-0.00004,10.05,0,1,-0.95,2,winner,0
39,2026.03.09 23:02:30,EURUSD,BUY,pullback_trend,29.42,0.00056,0.473684,14.2412,3.0573,7,23,3.12,4,0.00001,10.02,0,1,-3.45,3,winner,0
40,2026.03.10 10:02:15,EURUSD,BUY,rotation,18.64,0.00052,-0.071429,3.2454,2.1816,6,10,-10.78,5,-0.00001,10.04,0,1,-8.26,5,winner,0
41,2026.03.10 17:38:28,EURUSD,BUY,rotation,20.77,0.00063,0.211538,9.4864,0.444,6,17,2.13,6,-0.00001,-25.18,1,0,-25.18,5,steamroller_bsl,1
42,2026.03.11 14:00:29,EURUSD,SELL,rotation,16.42,0.00062,-0.015873,1.2353,1.3412,6,14,-4.35,1,0.00003,10.02,0,1,-3.57,3,winner,0
43,2026.03.11 19:51:27,EURUSD,SELL,compression,15.12,0.00025,-0.596774,1.7345,2.5381,6,19,-1.3,2,0.00002,10.00,0,1,-0.28,1,winner,0
44,2026.03.13 10:03:26,EURUSD,SELL,impulse,21.19,0.00050,1.0,24.923,3.9319,6,10,6.07,3,-0.00001,10.12,0,1,-8.63,5,winner,0
45,2026.03.16 04:17:38,EURUSD,BUY,liquidity_vacuum,25.11,0.00020,-0.6,8.7446,1.6184,6,4,3.92,1,-0.00001,10.03,0,1,-14.07,5,winner,0
46,2026.03.16 15:51:12,EURUSD,BUY,expansion,29.87,0.00038,0.9,20.7127,3.5706,6,15,4.76,2,0.00002,10.02,0,1,-2.22,3,winner,0
47,2026.03.16 19:45:33,EURUSD,BUY,pullback_trend,26.19,0.00043,0.131579,4.2732,3.8298,6,19,-3.68,3,-0.00003,10.10,0,1,-18.55,5,winner,0
48,2026.03.17 11:57:38,EURUSD,BUY,rotation,21.06,0.00034,-0.209302,2.3967,1.1866,6,11,-5.13,4,-0.00002,10.09,0,1,-24.86,5,winner,0
49,2026.03.19 15:37:26,EURUSD,BUY,impulse,26.63,0.00079,1.323529,27.5822,2.0275,6,15,5.57,5,-0.00004,10.01,0,1,-0.72,1,winner,0
50,2026.03.19 21:55:59,EURUSD,BUY,liquidity_vacuum,20.76,0.00014,-0.822785,8.42,19.6802,14,21,-5.87,6,0.00001,-25.12,1,0,-25.12,5,steamroller_bsl,1
