basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
1537,2025.03.11 18:51:40,EURUSD,BUY,pullback_trend,25.66,0.00053,-0.329114,8.3225,2.4099,2,18,0.81,11,-0.00000,-25.04,1,0,-25.04,5,steamroller_bsl,1
1538,2025.03.13 07:16:37,EURUSD,SELL,rotation,16.51,0.00044,-0.169811,0.8392,0.5568,2,7,-9.15,1,0.00002,10.07,0,1,-22.48,5,winner,0
1539,2025.03.19 09:52:40,EURUSD,SELL,rotation,16.02,0.00054,0.227273,3.7853,1.6503,1,9,-0.49,2,0.00001,10.01,0,1,-1.23,2,winner,0
1540,2025.03.19 18:15:00,EURUSD,SELL,impulse,29.95,0.00069,0.277778,33.2563,0.4739,2,18,13.93,3,0.00011,10.01,0,1,-8.94,5,winner,0
1541,2025.03.20 12:02:00,EURUSD,SELL,rotation,19.81,0.00052,-0.246377,3.5219,2.8878,1,12,-10.14,4,0.00003,10.00,0,1,-0.86,1,winner,0
1542,2025.03.26 23:22:14,EURUSD,SELL,liquidity_vacuum,22.28,0.00026,-0.5,9.0271,4.7485,11,23,2.47,5,-0.00001,-25.00,1,0,-25.00,5,steamroller_bsl,1
1543,2025.03.27 12:56:59,EURUSD,BUY,liquidity_vacuum,17.24,0.00042,0.615385,6.9917,1.3515,8,12,-5.04,1,-0.00001,10.00,0,1,-3.44,2,winner,0
1544,2025.03.28 16:58:31,EURUSD,BUY,liquidity_vacuum,20.09,0.00053,0.261905,10.2493,2.5211,10,16,2.85,2,-0.00004,10.03,0,1,-3.17,3,winner,0
1545,2025.03.31 08:18:17,EURUSD,BUY,liquidity_vacuum,18.75,0.00062,0.169811,3.312,0.4557,8,8,-1.34,3,-0.00004,10.04,0,1,-20.06,5,winner,0
1546,2025.04.02 19:06:45,EURUSD,BUY,liquidity_vacuum,23.97,0.00036,-0.419355,13.617,4.308,8,19,5.22,4,-0.00003,10.28,0,1,-5.12,5,winner,0
1547,2025.04.02 21:26:58,EURUSD,BUY,liquidity_vacuum,19.39,0.00128,2.555556,31.0459,0.3613,8,21,-4.58,5,0.00026,10.04,0,1,-9.20,4,winner,0
1548,2025.04.02 22:23:59,EURUSD,BUY,liquidity_vacuum,16.84,0.00271,1.117188,18.6939,0.888,15,22,-2.55,6,-0.00017,10.00,0,1,-1.46,1,winner,0
1549,2025.04.03 05:09:30,EURUSD,BUY,liquidity_vacuum,18.51,0.00047,-0.826568,9.6243,4.737,10,5,1.67,7,-0.00001,10.01,0,1,-0.39,1,winner,0
1550,2025.04.03 14:33:19,EURUSD,BUY,liquidity_vacuum,24.25,0.00151,2.212766,38.5092,3.2061,8,14,5.74,8,0.00000,10.06,0,1,-18.22,4,winner,0
1551,2025.04.04 06:50:00,EURUSD,BUY,liquidity_vacuum,29.74,0.00056,-0.629139,16.858,1.5121,8,6,5.49,9,-0.00010,-25.12,1,0,-25.12,5,steamroller_bsl,1
1552,2025.04.04 11:56:30,EURUSD,SELL,liquidity_vacuum,27.98,0.00135,1.410714,16.8223,0.4607,8,11,-1.76,1,0.00011,10.04,0,1,-15.19,3,winner,0
1553,2025.04.04 16:53:40,EURUSD,SELL,liquidity_vacuum,19.33,0.00147,0.088889,2.2856,0.7869,8,16,-8.65,2,0.00009,11.69,0,1,-1.21,1,winner,0
1554,2025.04.06 23:01:56,EURUSD,SELL,liquidity_vacuum,29.83,0.00132,-0.102041,24.0388,2.1553,8,23,10.5,3,-0.00001,-25.01,1,0,-25.01,5,steamroller_bsl,1
1555,2025.04.07 03:07:56,EURUSD,BUY,liquidity_vacuum,19.28,0.00088,-0.333333,1.1863,0.7453,8,3,-10.55,1,-0.00006,10.00,0,1,-5.79,3,winner,0
1556,2025.04.08 08:19:39,EURUSD,BUY,liquidity_vacuum,28.58,0.00077,-0.125,20.4943,0.7771,8,8,9.3,2,0.00001,-25.00,1,0,-25.00,5,steamroller_bsl,1
1557,2025.04.08 17:41:04,EURUSD,SELL,liquidity_vacuum,23.29,0.00067,-0.12987,1.1123,1.2492,9,17,-5.29,1,0.00004,-25.01,1,0,-25.01,4,steamroller_bsl,1
1558,2025.04.09 03:43:37,EURUSD,BUY,liquidity_vacuum,23.10,0.00073,0.089552,3.1041,3.6343,8,3,-0.19,1,-0.00004,10.01,0,1,-1.93,2,winner,0
1559,2025.04.09 11:23:27,EURUSD,BUY,liquidity_vacuum,26.77,0.00084,0.150685,10.6058,0.2358,8,11,3.67,2,0.00003,10.05,0,1,-15.25,5,winner,0
1560,2025.04.11 06:01:26,EURUSD,BUY,liquidity_vacuum,25.22,0.00074,-0.119048,2.7736,4.2944,10,6,-1.55,3,0.00001,10.02,0,1,-23.98,5,winner,0
1561,2025.04.11 11:00:29,EURUSD,BUY,liquidity_vacuum,20.56,0.00180,1.432432,18.0939,1.8784,8,11,-4.66,4,-0.00012,10.02,0,1,-7.36,2,winner,0
1562,2025.04.11 14:50:00,EURUSD,BUY,liquidity_vacuum,28.42,0.00241,0.338889,24.5784,0.6782,8,14,7.86,5,-0.00040,10.05,0,1,-11.75,3,winner,0
1563,2025.04.14 04:00:00,EURUSD,BUY,liquidity_vacuum,25.74,0.00080,-0.66805,6.3727,1.8906,9,4,-2.68,6,-0.00011,10.04,0,1,-3.58,3,winner,0
1564,2025.04.14 08:32:39,EURUSD,BUY,liquidity_vacuum,28.82,0.00111,0.3875,14.5262,1.1647,8,8,3.08,7,-0.00004,-25.00,1,0,-25.00,3,steamroller_bsl,1
1565,2025.04.14 17:13:37,EURUSD,SELL,liquidity_vacuum,24.02,0.00099,-0.108108,1.4377,0.5509,8,17,-4.8,1,0.00004,10.02,0,1,-0.99,1,winner,0
1566,2025.04.15 20:06:32,EURUSD,SELL,liquidity_vacuum,19.82,0.00043,-0.565657,2.1375,4.55,10,20,-4.2,2,0.00004,-25.09,1,0,-25.09,5,steamroller_bsl,1
1567,2025.04.16 11:02:43,EURUSD,BUY,liquidity_vacuum,16.50,0.00086,1.0,11.4723,0.2893,8,11,-3.32,1,-0.00005,10.00,0,1,-2.12,2,winner,0
1568,2025.04.17 00:57:38,EURUSD,BUY,liquidity_vacuum,28.76,0.00035,-0.593023,26.5853,1.8612,12,0,12.26,2,0.00001,-25.04,1,0,-25.04,5,steamroller_bsl,1
1569,2025.04.17 14:00:34,EURUSD,SELL,liquidity_vacuum,29.15,0.00106,2.028571,21.6857,0.0801,8,14,0.39,1,0.00000,-25.03,1,0,-25.03,3,steamroller_bsl,1
1570,2025.04.21 10:54:33,EURUSD,BUY,liquidity_vacuum,27.21,0.00074,-0.301887,1.9787,3.9148,8,10,-1.94,1,-0.00005,-25.03,1,0,-25.03,5,steamroller_bsl,1
