basket_id,open_time,symbol,direction,open_level,ema_fast,ema_trend,ema_sep,ema_sep_atr,ema_slope,atr,adx,grid_center,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,adx_x_atr_expand,slope_x_consec,impulse_x_dist,close_time,profit,exit_reason,hit_tp,hit_bsl,mae,mfe,bars_alive,max_depth,label_class,y_steamroller,y_fail
170,2018.08.21 07:11:34,EURUSD,BUY,1,1.15298,1.15124,0.00175,4.9002,0.00003,0.00036,20.12,1.15296,3.6264,8,7,2,0.7000,0.9463,50,9e-05,-9.12,-0.4375,5,3.6264,4.3066,0.0,4.5,15.6175,2018.08.21 09:50:40,10.01,BASKET_TP,1,0,-7.14,10.01,32,5,winner,0,0
171,2018.08.21 12:05:39,EURUSD,BUY,1,1.15220,1.15183,0.00037,1.1710,-0.00001,0.00032,22.80,1.15225,0.0213,8,12,2,0.7000,0.9463,50,-4e-05,2.68,-0.111111,6,0.0213,8.7653,0.0,2.4,0.1867,2018.08.21 16:44:36,10.08,BASKET_TP,1,0,-10.72,10.08,55,5,winner,0,0
172,2018.08.21 20:50:03,EURUSD,BUY,1,1.15744,1.15506,0.00238,6.2308,-0.00004,0.00038,21.77,1.15744,5.0310,8,20,2,0.7200,1.0460,50,-3e-05,-1.03,0.1875,7,5.031,6.9327,0.0,2.1,34.8787,2018.08.22 11:13:03,10.01,BASKET_TP,1,0,-4.18,10.01,172,3,winner,0,0
173,2018.08.22 14:21:36,EURUSD,BUY,1,1.16117,1.15917,0.00200,4.0194,-0.00004,0.00050,18.99,1.16128,3.0072,8,14,3,0.7200,1.0460,50,0.0,-2.78,0.315789,8,3.0072,7.9097,0.0,0.0,23.786,2018.08.22 19:04:40,10.03,BASKET_TP,1,0,-7.87,10.03,56,5,winner,0,0
174,2018.08.22 19:26:42,EURUSD,BUY,1,1.15944,1.15931,0.00013,0.1968,-0.00002,0.00067,20.37,1.15943,-0.6542,8,19,3,0.7200,1.0446,50,2e-05,1.38,0.34,9,0.6542,11.0236,0.4692,1.8,7.2116,2018.08.23 20:03:39,-25.07,BASKET_SL,0,1,-25.07,5.38,295,5,steamroller_bsl,1,1
175,2018.08.23 20:50:36,EURUSD,SELL,1,1.15379,1.15524,-0.00145,-3.8896,0.00002,0.00037,23.13,1.15380,-2.8945,8,20,4,0.7000,0.9485,50,4e-05,2.76,-0.447761,1,2.8945,7.1436,0.0,0.4,20.6772,2018.08.24 15:04:29,-25.02,BASKET_SL,0,1,-25.02,1.64,218,3,steamroller_bsl,1,1
176,2018.08.24 18:41:27,EURUSD,BUY,1,1.16280,1.16064,0.00216,5.4669,0.00000,0.00039,10.09,1.16286,4.4274,8,18,5,0.7000,0.9485,50,-2e-05,-13.04,0.054054,1,4.4274,2.3474,0.0,0.2,10.3928,2018.08.27 14:32:42,10.02,BASKET_TP,1,0,-7.98,10.02,238,3,winner,0,0
177,2018.08.27 19:19:25,EURUSD,BUY,1,1.16799,1.16587,0.00212,6.7624,-0.00002,0.00031,29.89,1.16803,5.6492,8,19,1,0.7200,1.0445,50,-2e-05,19.8,-0.205128,2,5.6492,42.2123,0.0,0.4,238.4657,2018.08.28 14:08:39,10.01,BASKET_TP,1,0,-2.67,10.01,226,2,winner,0,0
178,2018.08.28 15:18:24,EURUSD,BUY,1,1.17189,1.17022,0.00167,3.1127,-0.00003,0.00054,24.74,1.17189,1.9631,8,15,2,0.7200,1.0445,50,-1e-05,-5.15,0.741935,3,1.9631,9.5101,0.0,0.3,18.6693,2018.08.30 14:31:29,-25.05,BASKET_SL,0,1,-25.05,7.75,567,5,steamroller_bsl,1,1
179,2018.08.30 17:29:30,EURUSD,SELL,1,1.16515,1.16712,-0.00197,-3.3230,0.00004,0.00059,23.19,1.16502,-2.5689,8,17,4,0.7200,1.0445,50,7e-05,-1.55,0.092593,1,2.5689,2.7682,0.0,0.7,7.1111,2018.08.31 13:39:28,10.00,BASKET_TP,1,0,-10.36,10.00,242,4,winner,0,0
