basket_id,open_time,symbol,direction,warn_depth,max_depth,ema_sep_atr,ema_slope,atr,adx,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,is_sell,profit,hit_bsl,mae,mfe,bars_alive,label_class,y_steamroller,y_mid_steamroller
1315,2023.11.22 17:11:02,EURUSD,SELL,3,5,-4.0755,0.00004,0.00039,22.54,-3.0677,2,17,3,0.6200,0.6551,50,2e-05,-4.62,-0.133333,1,3.0677,1.4669,1.0,-25.06,1,-25.06,0.57,548,steamroller_bsl,1,1
1315,2023.11.22 17:11:02,EURUSD,SELL,4,5,-4.0755,0.00004,0.00039,22.54,-3.0677,2,17,3,0.6200,0.6551,50,2e-05,-4.62,-0.133333,1,3.0677,1.4669,1.0,-25.06,1,-25.06,0.57,548,steamroller_bsl,1,1
1315,2023.11.22 17:11:02,EURUSD,SELL,5,5,-4.0755,0.00004,0.00039,22.54,-3.0677,2,17,3,0.6200,0.6551,50,2e-05,-4.62,-0.133333,1,3.0677,1.4669,1.0,-25.06,1,-25.06,0.57,548,steamroller_bsl,1,1
1316,2023.11.24 16:35:33,EURUSD,BUY,2,5,3.3821,-0.00003,0.00038,24.04,2.1722,3,16,5,0.6200,0.6550,50,-7e-05,1.5,-0.025641,1,2.1722,4.7431,0.0,-25.03,1,-25.03,8.59,1417,steamroller_bsl,1,1
1316,2023.11.24 16:35:33,EURUSD,BUY,3,5,3.3821,-0.00003,0.00038,24.04,2.1722,3,16,5,0.6200,0.6550,50,-7e-05,1.5,-0.025641,1,2.1722,4.7431,0.0,-25.03,1,-25.03,8.59,1417,steamroller_bsl,1,1
1316,2023.11.24 16:35:33,EURUSD,BUY,4,5,3.3821,-0.00003,0.00038,24.04,2.1722,3,16,5,0.6200,0.6550,50,-7e-05,1.5,-0.025641,1,2.1722,4.7431,0.0,-25.03,1,-25.03,8.59,1417,steamroller_bsl,1,1
1316,2023.11.24 16:35:33,EURUSD,BUY,5,5,3.3821,-0.00003,0.00038,24.04,2.1722,3,16,5,0.6200,0.6550,50,-7e-05,1.5,-0.025641,1,2.1722,4.7431,0.0,-25.03,1,-25.03,8.59,1417,steamroller_bsl,1,1
1317,2023.12.01 17:20:16,EURUSD,SELL,2,2,-0.9465,0.00007,0.00062,29.53,0.0099,10,17,5,0.6000,0.6023,50,0.0001,5.49,0.631579,1,0.0099,18.7983,1.0,10.03,0,-3.27,10.03,251,winner,0,0
1318,2023.12.04 17:06:25,EURUSD,SELL,2,4,-5.3870,0.00002,0.00043,29.12,-4.3248,8,17,1,0.6000,0.6023,50,-5e-05,-0.41,-0.306452,2,4.3248,2.5812,1.0,10.12,0,-5.37,10.12,260,winner,0,0
1318,2023.12.04 17:06:25,EURUSD,SELL,3,4,-5.3870,0.00002,0.00043,29.12,-4.3248,8,17,1,0.6000,0.6023,50,-5e-05,-0.41,-0.306452,2,4.3248,2.5812,1.0,10.12,0,-5.37,10.12,260,winner,0,0
1318,2023.12.04 17:06:25,EURUSD,SELL,4,4,-5.3870,0.00002,0.00043,29.12,-4.3248,8,17,1,0.6000,0.6023,50,-5e-05,-0.41,-0.306452,2,4.3248,2.5812,1.0,10.12,0,-5.37,10.12,260,winner,0,0
1319,2023.12.05 20:13:37,EURUSD,SELL,2,5,-6.4112,0.00001,0.00024,20.19,-5.1414,8,20,2,0.6000,0.6026,50,-1e-05,-8.93,-0.44186,3,5.1414,2.8853,1.0,10.09,0,-6.06,10.09,267,winner,0,0
1319,2023.12.05 20:13:37,EURUSD,SELL,3,5,-6.4112,0.00001,0.00024,20.19,-5.1414,8,20,2,0.6000,0.6026,50,-1e-05,-8.93,-0.44186,3,5.1414,2.8853,1.0,10.09,0,-6.06,10.09,267,winner,0,0
1319,2023.12.05 20:13:37,EURUSD,SELL,4,5,-6.4112,0.00001,0.00024,20.19,-5.1414,8,20,2,0.6000,0.6026,50,-1e-05,-8.93,-0.44186,3,5.1414,2.8853,1.0,10.09,0,-6.06,10.09,267,winner,0,0
1319,2023.12.05 20:13:37,EURUSD,SELL,5,5,-6.4112,0.00001,0.00024,20.19,-5.1414,8,20,2,0.6000,0.6026,50,-1e-05,-8.93,-0.44186,3,5.1414,2.8853,1.0,10.09,0,-6.06,10.09,267,winner,0,0
1320,2023.12.06 22:22:10,EURUSD,SELL,2,5,-6.5140,-0.00000,0.00016,16.24,-5.6674,19,22,3,0.6000,0.6027,50,-1e-05,-3.95,-0.333333,4,5.6674,3.5168,1.0,10.03,0,-24.72,10.03,470,winner,0,0
1320,2023.12.06 22:22:10,EURUSD,SELL,3,5,-6.5140,-0.00000,0.00016,16.24,-5.6674,19,22,3,0.6000,0.6027,50,-1e-05,-3.95,-0.333333,4,5.6674,3.5168,1.0,10.03,0,-24.72,10.03,470,winner,0,0
1320,2023.12.06 22:22:10,EURUSD,SELL,4,5,-6.5140,-0.00000,0.00016,16.24,-5.6674,19,22,3,0.6000,0.6027,50,-1e-05,-3.95,-0.333333,4,5.6674,3.5168,1.0,10.03,0,-24.72,10.03,470,winner,0,0
1320,2023.12.06 22:22:10,EURUSD,SELL,5,5,-6.5140,-0.00000,0.00016,16.24,-5.6674,19,22,3,0.6000,0.6027,50,-1e-05,-3.95,-0.333333,4,5.6674,3.5168,1.0,10.03,0,-24.72,10.03,470,winner,0,0
1321,2023.12.08 15:00:28,EURUSD,SELL,2,5,-2.2654,-0.00006,0.00088,24.60,-0.9357,9,15,5,0.6200,0.6556,50,-6e-05,8.36,4.5,5,0.9357,65.0539,1.0,-25.00,1,-25.00,9.86,912,steamroller_bsl,1,1
1321,2023.12.08 15:00:28,EURUSD,SELL,3,5,-2.2654,-0.00006,0.00088,24.60,-0.9357,9,15,5,0.6200,0.6556,50,-6e-05,8.36,4.5,5,0.9357,65.0539,1.0,-25.00,1,-25.00,9.86,912,steamroller_bsl,1,1
